word,groups
ДИЗАЙН,"['44334306', '69217383']"
ДИЗАЙНЕР,['46101364']
ДИЗАСТЕР,['165631833']
ДИЗЕЛЬПАНК,['13248368']
ДИЛЕЙ,"['154973489', '183091587', '137725820']"
ДИЛЕНЫ,"['154973489', '183091587', '137725820']"
ДИЛЕР,"['121893616', '106820278']"
ДИНАМО,"['27557440', '192003980', '51812607', '997924', '41922026']"
ДИНГ,"['187802637', '19345622', '57348695', '91675188', '108065511', '170740952', '101757150', '37144237', '57468164', '107259975', '160494031', '172264502', '34422542', '96454173', '160408533', '191269701', '63745710', '133501610', '17305055', '171961997']"
ДИНГИ,"['187802637', '19345622', '57348695', '91675188', '108065511', '170740952', '101757150', '37144237', '57468164', '107259975', '160494031', '172264502', '34422542', '96454173', '160408533', '191269701', '63745710', '133501610', '17305055', '171961997']"
ДИНГО,"['187802637', '19345622', '57348695', '91675188', '108065511', '170740952', '101757150', '37144237', '57468164', '107259975', '160494031', '172264502', '34422542', '96454173', '160408533', '191269701', '63745710', '133501610', '17305055', '171961997']"
ДИНОЗАВР,"['169213173', '187698150', '162740884']"
ДИОРАМА,['150700683']
ДИПЛОМАТИЯ,['293884']
ДИППЕР,['122232315']
ДИРЕКТ,['182280376']
ДИРЕКТОР,"['192015313', '128411888', '64424720', '17795087', '186866670', '36425313', '139213273', '168942660', '30918225', '180064895']"
ДИРЕКТОРИ,"['192015313', '128411888', '64424720', '17795087', '186866670', '36425313', '139213273', '168942660', '30918225', '180064895']"
ДИРК,['45635915']
ДИСК,"['104749924', '123556990', '93522143', '80232939', '165855379', '162361355', '144913929', '44004598']"
ДИСКА,"['104749924', '123556990', '93522143', '80232939', '165855379', '162361355', '144913929', '44004598']"
ДИСКАУНТЕР,['147259159']
ДИСКОТЕКА,['383476']
ДИСКРИМИНАЦИЯ,['50821500']
ДИСНЕЙ,"['104483981', '29620288', '78653541']"
ДИСПЛЕЙ,['187398185']
ДИСТ,"['193589869', '193213745', '193740557', '193315726', '193770304', '193381493', '163173222']"
ДИСТЕН,"['193589869', '193213745', '193740557', '193315726', '193770304', '193381493', '163173222']"
ДИСТРИБУЦИИ,"['151882397', '136125958', '194660364', '185670006', '179741929', '104950726', '178966875', '137213420']"
ДИСТРИБУЦИЯ,"['151882397', '136125958', '194660364', '185670006', '179741929', '104950726', '178966875', '137213420']"
ДИСТРИБЬЮТОР,"['106050696', '193291935']"
ДИФФУЗНАЯ,"['33254904', '179535521']"
ДИФФУЗНЫЙ,"['33254904', '179535521']"
ДОГГЕР,"['169047717', '167852740', '152528382', '163868758', '164757638', '168002978']"
ДОГГЕРЫ,"['169047717', '167852740', '152528382', '163868758', '164757638', '168002978']"
ДОГИ,"['192939639', '5422581']"
ДОДЖ,"['119752231', '85336637', '185186841']"
ДОЙТ,['7598548']
ДОКТОР,"['95533603', '18468934', '8917306', '774326']"
ДОКУМЕНТ,['191148646']
ДОЛБИ,['187278059']
ДОЛИНА,"['116209588', '89272321', '64401378', '66398688', '104934365', '17783332', '195168583']"
ДОЛИНЫ,"['116209588', '89272321', '64401378', '66398688', '104934365', '17783332', '195168583']"
ДОЛЛАР,['32324372']
ДОМЕН,"['176728113', '130580']"
ДОМИНИОН,['122023491']
ДОНИ,['57006401']
ДОНК,"['156910598', '115449079', '99061360', '35903882', '157795168', '74355820', '186513663', '75524092', '39145541', '156285504', '74019307', '8868851', '13533881', '169152627', '33129863', '150635343', '75485093', '185970022', '63094074', '192306658']"
ДОНКА,"['156910598', '115449079', '99061360', '35903882', '157795168', '74355820', '186513663', '75524092', '39145541', '156285504', '74019307', '8868851', '13533881', '169152627', '33129863', '150635343', '75485093', '185970022', '63094074', '192306658']"
ДОНКИ,"['156910598', '115449079', '99061360', '35903882', '157795168', '74355820', '186513663', '75524092', '39145541', '156285504', '74019307', '8868851', '13533881', '169152627', '33129863', '150635343', '75485093', '185970022', '63094074', '192306658']"
ДОРОЖНАЯ,"['180299520', '51403525', '60442049', '153344099']"
ДОХОД,['114171674']
ДОЧЕРИ,['72411931']
ДРАББЛ,['114999870']
ДРАГ,"['163828426', '153426723', '181890454', '173901185', '168256861', '178978805']"
ДРАГА,"['163828426', '153426723', '181890454', '173901185', '168256861', '178978805']"
ДРАЙВ,"['1429820', '34203974']"
ДРАМ,"['127768414', '52556751', '52034684', '66711170', '52106913']"
ДРАМА,"['127768414', '52556751', '52034684', '66711170', '52106913']"
ДРЕССЕР,['123892938']
ДРИМ,"['186128352', '195100469', '173819460', '194698856', '189325762', '138815306', '122240207']"
ДРИМЫ,"['186128352', '195100469', '173819460', '194698856', '189325762', '138815306', '122240207']"
ДРИНК,"['64751564', '194344255', '157222482', '17822335', '66770824', '160683453']"
ДРИНЬК,"['64751564', '194344255', '157222482', '17822335', '66770824', '160683453']"
ДРИФТ,['191778291']
ДРОП,['105809465']
ДРУИД,['40856512']
ДРЭГ,"['150532041', '90453514', '69473024']"
ДУАЛ,['91484616']
ДУБЛЬ,['149269539']
ДУГЛАС,"['73208155', '45635915', '46765788', '33197946']"
ДУДЛИНГ,"['110327811', '33307587']"
ДУНИТ,['44633036']
ДУЭТ,['186125036']
ДЭВИДСОН,"['4188245', '57131177']"
ДЭВИСА,['186458505']
ДЭДДИ,"['183006598', '176819457', '193535407']"
ДЭКС,['159192668']
ДЭНС,"['150201925', '1177768', '178225941', '101694272', '48333035', '798142', '52722818', '91166003']"
ДЭНСХОЛЛ,['108858391']
ДЭНСЫ,"['150201925', '1177768', '178225941', '101694272', '48333035', '798142', '52722818', '91166003']"
ДЭТКОР,['123481590']
ЕБАЙ,"['82885397', '180807530']"
ЕБЕЙ,"['190593715', '167649221', '187278059', '149485615', '169821420']"
ЕБИТ,"['190593715', '167649221', '187278059', '149485615', '169821420']"
ЕВГЕНИКА,['38138089']
ЕВРО,"['6355117', '147438675', '117179957']"
ЕВРОВИДЕНИЕ,['188512065']
ЕКСЕЛЬ,['84097752']
ЖЕНЩИН,['82556059']
ЖЕТОН,"['99511563', '71449190']"
ЗАКОН,"['28315843', '182719373', '110856582', '128746860', '180102935', '79214909', '185292122', '108560873', '98733420', '38078153', '28799949']"
ЗАКОНЫ,"['28315843', '182719373', '110856582', '128746860', '180102935', '79214909', '185292122', '108560873', '98733420', '38078153', '28799949']"
ЗАПАДНОГО,['115435542']
ЗЕНДУДЛИНГ,['33307587']
ЗЕНТАНГЛ,"['110327811', '110343860', '33307587']"
ЗОЛОТОЙ,"['91042071', '48716232', '161534369', '33620338']"
ЗОМБИ,['21396707']
ЗОНА,"['112252091', '80178788', '136173374', '37196652']"
ЗОРБ,['17783781']
ЗОРБИНГ,['17783781']
ИВЕНТ,['187180259']
ИГЛУ,"['37014268', '144799160', '126558322', '173723437', '105726476', '20224555']"
ИГЛЬ,"['37014268', '144799160', '126558322', '173723437', '105726476', '20224555']"
ИГНИ,['188512065']
ИГРА,"['48940689', '24539231', '162211446', '120730815', '74766128', '51949926', '1357120']"
ИГРОК,"['32046297', '190791660', '86021764']"
ИДЕНТИЧНОСТЬ,['167341976']
ИЕГОВЫ,['52979214']
ИЗАБЕЛЛА,['169762419']
ИЗОЛЯТ,['29919519']
ИЗОСОФТ,['167581017']
ИКСПИ,['187312606']
ИКСПЯ,['187312606']
ИКСЫ,"['25025315', '21220777']"
ИМБИЛДИНГ,"['25627779', '67544595']"
ИМИДЖ,['28621040']
ИМИДЖБОРД,"['33640528', '73185958', '61484512']"
ИМИДЖБОРДА,"['33640528', '73185958', '61484512']"
ИМКО,['193876288']
ИММОРТАЛИЗМ,['154308846']
ИМПЛАНТ,['24480354']
ИМПОРТ,"['147226399', '101056298']"
ИМПОРТЁР,"['134305471', '77202440', '114324964']"
ИМПОРТЕР,"['134305471', '77202440', '114324964']"
ИМХО,['8243761']
ИНВЕСТИЦИИ,['194994035']
ИНВЕСТИЦИОННАЯ,"['192042551', '115177649', '182104023', '189465937', '154812599', '174860442']"
ИНВЕСТИЦИОННЫЙ,"['192042551', '115177649', '182104023', '189465937', '154812599', '174860442']"
ИНВЕСТМЕНТ,['41136048']
ИНВЕСТОР,['40098259']
ИНГАЛЯТОР,"['26638090', '181204548', '60467027']"
ИНДЕКС,"['185985656', '192179593', '194273828', '193869090', '87031424', '187379923', '90263963']"
ИНДЕКСЫ,"['185985656', '192179593', '194273828', '193869090', '87031424', '187379923', '90263963']"
ИНДИ,"['50584238', '11809', '163490621', '151468388', '32562427']"
ИНДИАН,['168791704']
ИНДИВИДУАЛЬНЫЙ,['127721023']
ИНДИКАТОР,"['182599383', '40873196', '127126493', '184818061', '141925677', '50853184', '192257255', '144146461', '156346902']"
ИНДИКАТОРЫ,"['182599383', '40873196', '127126493', '184818061', '141925677', '50853184', '192257255', '144146461', '156346902']"
ИНДИЯ,"['50584238', '11809', '163490621', '151468388', '32562427']"
ИНДУИЗМ,"['165548408', '158370547']"
ИНДУСТРИАЛЬНАЯ,"['34223528', '152689890', '62678269', '91296889', '78272024', '36593333', '161876581']"
ИНДУСТРИАЛЬНЫЙ,"['34223528', '152689890', '62678269', '91296889', '78272024', '36593333', '161876581']"
ИНДУСТРИЯ,['32065662']
ИНЖЕНЕР,"['98979942', '29417489', '67879585', '180141569', '158348310', '194235181', '12125538']"
ИНЖЕНЕРИЯ,"['98979942', '29417489', '67879585', '180141569', '158348310', '194235181', '12125538']"
ИНЖЕНЕРНЫЙ,['50936212']
ИНКЛЮЗИВНОЕ,"['7980133', '169556660']"
ИНКЛЮЗИВНЫЙ,"['7980133', '169556660']"
ИНКУБАТОР,['24864761']
ИНЛАЙН,['9742']
ИННЕР,['28826904']
ИННОВАЦИЯ,"['95435119', '183913516', '161475050']"
ИНСАЙД,"['194773504', '152528382']"
ИНСАЙДЕРСКАЯ,"['107234311', '156003738', '29830530']"
ИНСТ,['109604749']
ИНСТАЛЛ,"['100555164', '170873950', '74036512', '63094916']"
ИНСТАЛЛИТЬ,"['100555164', '170873950', '74036512', '63094916']"
ИНСТИТУЦИОНАЛЬНАЯ,"['193230182', '1553500', '127386962', '193229903']"
ИНСТИТУЦИОНАЛЬНЫЙ,"['193230182', '1553500', '127386962', '193229903']"
ИНСТИТЬЮТ,['171502061']
ИНСТРУКТОР,['193894242']
ИНСУРГЕНТ,"['18779825', '54762590']"
ИНТЕГРАЦИЯ,['27914463']
ИНТЕГРИРОВАННАЯ,['47449440']
ИНТЕЛЛЕКТ,"['30680595', '114171674']"
ИНТЕНСИВ,"['184679730', '146006276', '163643783']"
ИНТЕНСИВНЫЙ,['44505790']
ИНТЕРАКТ,"['169723632', '150720356', '85578972', '195803965', '194368809', '35211627', '183764249']"
ИНТЕРАКТИВ,"['169723632', '150720356', '85578972', '195803965', '194368809', '35211627', '183764249']"
ИНТЕРВЬЮ,"['73633616', '186635067']"
ИНТЕРЛОК,['6755201']
ИНТЕРНЕТ,"['24862387', '119311051', '35101030', '59880318', '39311854', '27258920', '64759135', '53762281', '3459', '185507115']"
ИНТЕРНЕТА,"['24862387', '119311051', '35101030', '59880318', '39311854', '27258920', '64759135', '53762281', '3459', '185507115']"
ИНТЕРНЕШНЛ,['77499304']
ИНТИМ,"['98547775', '97798205', '41887208', '189625734', '61717571', '191425559', '192160455', '79260311', '149039940']"
ИНТРА,"['124315584', '51482345', '193580210', '190527375', '135241670', '88477116', '126317387', '167348474', '80064017', '77750556', '193617317']"
ИНТРО,"['124315584', '51482345', '193580210', '190527375', '135241670', '88477116', '126317387', '167348474', '80064017', '77750556', '193617317']"
ИНТЯ,"['98547775', '97798205', '41887208', '189625734', '61717571', '191425559', '192160455', '79260311', '149039940']"
ИНФЕРНАЛЬНЫЙ,"['180747906', '176049475']"
ИНФЛЯЦИЯ,"['82963725', '117756', '2162705', '30012930']"
ИНФОРМАТИКА,['96789069']
ИНФОРМАЦИОННАЯ,"['37473224', '153502007', '108903216', '10514968', '171868288']"
ИНФОРМАЦИЯ,"['107234311', '29830530', '156003738', '191148646', '194773504']"
ИНФРАСТРУКТУРА,['115435542']
ИРЛАНД,['40856512']
ИРПИЛ,['79693970']
ИСКИ,['140370554']
ИСКУССТВО,['36230364']
ЙОГУРТ,"['9487607', '164660338', '95480306', '72857718']"
ЙОРК,"['47950275', '2688174', '21180895', '87335115', '10874326', '89739674', '188720102', '179581054', '12324354', '5891839', '26834667', '20420', '119282649', '1715207', '35762330', '125385796', '192258383', '195286953', '12276', '5726090']"
ЙОРКА,"['47950275', '2688174', '21180895', '87335115', '10874326', '89739674', '188720102', '179581054', '12324354', '5891839', '26834667', '20420', '119282649', '1715207', '35762330', '125385796', '192258383', '195286953', '12276', '5726090']"
ЙОРКИ,"['47950275', '2688174', '21180895', '87335115', '10874326', '89739674', '188720102', '179581054', '12324354', '5891839', '26834667', '20420', '119282649', '1715207', '35762330', '125385796', '192258383', '195286953', '12276', '5726090']"
ЙОРКШИРСКИЙ,"['89739674', '12324354', '68362870', '10874326', '108781293']"
КЁРЛ,"['137469886', '67490205', '45360828', '149393550', '175055462', '162760114', '11682602', '27793377', '42870917', '178290552', '86611082', '24247365', '65168413', '99868336', '46813422', '1669497', '3103221', '93117777', '48835643', '142409469']"
КАБИНЕТ,"['192015313', '27973272']"
КАВЕР,"['15164629', '3761323', '18255722']"
КАВИТАЦИЯ,"['59970482', '145748578', '31254389', '167383193', '57502662']"
КАДЕНС,"['49496338', '66556045']"
КАЗИНО,"['184204835', '195154963']"
КАЙТ,"['21759322', '129361201', '42882589', '1224587', '37390458', '151342499']"
КАЙТИНГ,['31528920']
КАЙТСЁРФИНГ,"['1224587', '55651818', '21759322', '10042517']"
КАКА,"['180346393', '50883936']"
КАКАДУ,['100994209']
КАЛЕЙДОСКОП,['100807818']
КАЛЛЕНА,"['93484129', '174388929']"
КАЛЬЦИЙ,['164400625']
КАМБЭК,['180504342']
КАМЕДИ,"['32057616', '22970400', '42981815', '37390961', '709882']"
КАМЕЛОТ,['79343349']
КАМПУС,['183913516']
КАНАЛ,['31894620']
КАНТРИ,"['42776841', '120126784', '149689026']"
КАПИТАЛ,"['81354264', '193315708', '191737840', '78602289', '32648242', '35656075', '184367628', '79665382']"
КАПИТАЛА,"['81354264', '193315708', '191737840', '78602289', '32648242', '35656075', '184367628', '79665382']"
КАПКЕЙК,['1370']
КАППЕР,"['23949984', '121485122', '163868758']"
КАПСИТЬ,"['44691882', '96557301']"
КАПСУЛА,['165526529']
КАПЧА,['166206374']
КАРАВАН,"['185186841', '85336637']"
КАРД,"['2190171', '183457492', '157554982', '186670569', '187110472', '164076717', '171883025']"
КАРДИГАН,"['1116586', '224571', '137631708']"
КАРДИО,"['2190171', '183457492', '157554982', '186670569', '187110472', '164076717', '171883025']"
КАРДРИДЕР,['26935042']
КАРДСТОК,['122489185']
КАРРИ,['158117199']
КАРТ,"['73062029', '70903182', '182846052', '172773945', '195348472', '186803356', '181734895', '99879788', '128254611', '135388977', '129473327', '161665691', '102761530', '171465105', '147416784', '166510958', '182001523', '138540778', '174813512', '184215129']"
КАРТА,"['73062029', '70903182', '182846052', '172773945', '195348472', '186803356', '181734895', '99879788', '128254611', '135388977', '129473327', '161665691', '102761530', '171465105', '147416784', '166510958', '182001523', '138540778', '174813512', '184215129']"
КАРТЕЛЬ,['611452']
КАРТЕР,"['10764209', '579944']"
КАРТЫ,"['73062029', '70903182', '182846052', '172773945', '195348472', '186803356', '181734895', '99879788', '128254611', '135388977', '129473327', '161665691', '102761530', '171465105', '147416784', '166510958', '182001523', '138540778', '174813512', '184215129']"
КАСТ,"['17705191', '22970400', '32614312', '189526620', '185693211', '178056178', '128301565', '190409906']"
КАСТИНГ,['174298670']
КАСТЛ,"['122809714', '73486366', '55186925', '110817906', '171660137']"
КАСТЛЬ,"['122809714', '73486366', '55186925', '110817906', '171660137']"
КАСТОМ,"['17705191', '22970400', '32614312', '189526620', '185693211', '178056178', '128301565', '190409906']"
КАСТОМАЙЗЕР,['132720806']
КАСТОМАЙЗИНГ,['105519912']
КАТАЛОГ,['65261743']
КАТАМАРАН,['3312303']
КАТЕР,"['40595370', '38816515', '126440087', '43145499']"
КАТРИДЖ,['86505755']
КАФЕ,"['166128849', '123259849', '145345432']"
КАФФ,"['173846492', '77978115']"
КАЯК,"['3312303', '27515631']"
КАЯКИНГ,['27515631']
КВАД,"['135516824', '187625421', '43635669', '182963774', '170532887', '179401941']"
КВАДРОЦИКЛ,"['18271691', '49900814']"
КВАДЫ,"['135516824', '187625421', '43635669', '182963774', '170532887', '179401941']"
КВАЗАР,"['95305273', '142908112']"
КВАКЕР,"['160228080', '175698880', '78132388', '139046092', '9943', '156354864', '837348']"
КВАКЕРЫ,"['160228080', '175698880', '78132388', '139046092', '9943', '156354864', '837348']"
КВЕСТ,['47821233']
КВЕСТРУМ,['107955495']
КВИЗ,"['193632286', '164592450', '145742658']"
КВИЛТИНГ,['17602584']
КВИН,"['126735927', '177522949', '165581931', '194095106', '120779227', '88674651']"
КВИР,['40991133']
КВОТ,"['184845109', '170081684']"
КЕЖУАЛ,['137309881']
КЕЙДЖЕН,['110548975']
КЕЙК,['102896445']
КЕЙЛИ,"['109604749', '193175150', '190676778']"
КЕЙС,['89591382']
КЕЙТЕРИНГ,"['135620541', '135621458']"
КЕЙТО,['48496524']
КЕКС,['150860604']
КЕЛЛ,"['50347625', '104620416', '37071632', '67558561', '162868017', '190294603']"
КЕЛЛИ,"['50347625', '104620416', '37071632', '67558561', '162868017', '190294603']"
КЕЛЬВИН,"['160278231', '20218596', '20794811']"
КЕМП,['106544496']
КЕМПИНГ,['54153687']
КЕПС,"['54605706', '96557301']"
КЕРЛ,"['137469886', '67490205', '45360828', '149393550', '175055462', '162760114', '11682602', '27793377', '42870917', '178290552', '86611082', '24247365', '65168413', '99868336', '46813422', '1669497', '3103221', '93117777', '48835643', '142409469']"
КЕРЛИ,"['137469886', '67490205', '45360828', '149393550', '175055462', '162760114', '11682602', '27793377', '42870917', '178290552', '86611082', '24247365', '65168413', '99868336', '46813422', '1669497', '3103221', '93117777', '48835643', '142409469']"
КЕРЛИНГ,"['183983074', '74766128']"
КЕРЛЫ,"['137469886', '67490205', '45360828', '149393550', '175055462', '162760114', '11682602', '27793377', '42870917', '178290552', '86611082', '24247365', '65168413', '99868336', '46813422', '1669497', '3103221', '93117777', '48835643', '142409469']"
КЕРН,['19280149']
КЕРРИ,['27271']
КЕШБЕК,['190074824']
КИБЕР,"['161881341', '180290473']"
КИБЕРБУЛЛИНГ,['192329685']
КИБЕРПАНК,"['102763418', '49803051']"
КИБЕРСПОРТ,"['9861842', '120730815']"
КИБОРГ,['105809465']
КИДЫ,['193466202']
КИКБОКСИНГ,['120204848']
КИКФЛИП,['195527847']
КИЛЕР,['29596911']
КИЛЛ,['181725466']
КИЛЛЕР,['15604658']
КИЛОБАЙТ,['10567724']
КИЛОМЕТР,['54153687']
КИНГ,"['120229735', '33789931', '2198410', '26339471', '14259838', '131140283', '174491477', '177132882']"
КИНК,['183006598']
КИСС,"['117907288', '164134494', '91501418', '188803793', '134236898', '148348922', '173039591']"
КИССИ,"['117907288', '164134494', '91501418', '188803793', '134236898', '148348922', '173039591']"
КЛАБ,"['16095815', '36338006', '37390961', '32057616', '191957043', '709882']"
КЛАЙ,['165448106']
КЛАЙД,"['109992147', '133293947', '33971753']"
КЛАЙМ,"['170539469', '154056275', '162998505']"
КЛАЙМА,"['170539469', '154056275', '162998505']"
КЛАН,"['152027307', '183694665']"
КЛАПЫ,['82879591']
КЛАРК,"['168260922', '104203526']"
КЛАСС,"['150858349', '181909906', '160668391']"
КЛАУС,['14762818']
КЛИЕНТ,"['19542789', '146836620']"
КЛИМАТ,['163492121']
КЛИНИКА,"['95533603', '18468934', '129831161', '52045565']"
КЛИНИНГ,['190698641']
КЛИП,"['190384555', '20272364', '78469888', '64891806', '23916411']"
КЛИПС,"['14678612', '50676667', '8297511', '21447014', '70690367', '19217651', '20990702', '103295180']"
КЛИПСЫ,"['14678612', '50676667', '8297511', '21447014', '70690367', '19217651', '20990702', '103295180']"
КЛИСТРОН,['111621075']
КЛОК,"['122423483', '175943394', '141975470', '153859830', '90310857', '75692161', '166894641']"
КЛОКИ,"['122423483', '175943394', '141975470', '153859830', '90310857', '75692161', '166894641']"
КЛОН,"['95305273', '81675095']"
КЛОУН,['195276391']
КЛУБ,"['89588427', '27557440', '42643879', '997924', '34943835', '41922026', '96863727', '23544918', '41213266']"
КЛУБНЫЙ,"['150858349', '22866546', '133701', '187160826']"
КЛЯЙН,"['160278231', '20218596', '20794811']"
КНИЖНОЕ,"['117293864', '62494679', '189354196']"
КНОП,"['193972986', '147795979', '9261986', '168565789', '195001545', '146895211']"
КНОПИТ,"['193972986', '147795979', '9261986', '168565789', '195001545', '146895211']"
КОВБОЙ,"['17447489', '187840727']"
КОГЕРЕНТНОСТЬ,['6589976']
КОДАК,['21154474']
КОДЕК,['22154785']
КОДЕКС,"['55312322', '81284795']"
КОДЕР,['190903146']
КОЙЛ,['190431374']
КОЙОТ,['110177425']
КОКА,['16297716']
КОКЕР,"['22949667', '74572', '140558467', '606277', '86657533']"
КОКС,['27583604']
КОКТЕЙЛ,"['24931275', '51978930', '81278155', '102908211', '178158825', '113851758', '175061035', '55809968', '43016856', '180838115']"
КОКТЕЙЛЬ,"['24931275', '51978930', '81278155', '102908211', '178158825', '113851758', '175061035', '55809968', '43016856', '180838115']"
КОЛА,"['97942964', '193428838', '72642497', '27300720', '157290407', '116779618', '108395954', '16297716']"
КОЛГЕЙТ,['132341357']
КОЛИ,"['97942964', '193428838', '72642497', '27300720', '157290407', '116779618', '108395954', '16297716']"
КОЛЛ,"['146822877', '90907483', '42448512', '150500858', '45622597', '183358050', '192984652', '193158521', '132074224', '129929507', '160306783', '110418645', '121945293', '193082822', '163767797', '188037560', '193082651', '86106685', '182342465', '543755']"
КОЛЛЕДЖ,"['36593333', '73986667']"
КОЛЛЕКТОР,['51138947']
КОЛЛЕКЦИЯ,"['120323641', '97798205']"
КОЛЛЕР,['3515109']
КОЛЛИ,"['71130597', '121541267', '57314521', '79886072', '795607']"
КОЛОР,['177306700']
КОЛУМБИТ,"['180074075', '144104254', '9195175', '61315379', '8033567', '34095456', '97292928']"
КОЛУМБИЯ,"['180074075', '144104254', '9195175', '61315379', '8033567', '34095456', '97292928']"
КОМБ,"['55822120', '3762729', '194322731', '138355416', '87870803', '165531509', '96557075', '140666289', '80801949', '178548679', '185984633', '190876403', '191606437', '188456088', '192135812', '52205838', '179817315', '195216722', '191571549', '136896203']"
КОМБАТ,['142104089']
КОМБИ,"['55822120', '3762729', '194322731', '138355416', '87870803', '165531509', '96557075', '140666289', '80801949', '178548679', '185984633', '190876403', '191606437', '188456088', '192135812', '52205838', '179817315', '195216722', '191571549', '136896203']"
КОМБО,"['55822120', '3762729', '194322731', '138355416', '87870803', '165531509', '96557075', '140666289', '80801949', '178548679', '185984633', '190876403', '191606437', '188456088', '192135812', '52205838', '179817315', '195216722', '191571549', '136896203']"
КОМЕДИ,"['87172081', '19821023', '32057616', '180346393', '100943703', '58817744']"
КОМЕДИЯ,"['87172081', '19821023', '32057616', '180346393', '100943703', '58817744']"
КОМЕН,['32156493']
КОМИКС,"['163220237', '82984575']"
КОМИТЕТ,"['166261875', '92972339', '64897872']"
КОМИШ,['90655146']
КОММАНДОС,"['74478610', '59200568']"
КОММЕРЦИЯ,['34467685']
КОММУНИКАЦИЯ,"['140370554', '47449440']"
КОМП,"['15153866', '43241369', '194720862', '89944050', '184534661', '186545074', '187522385', '38178546']"
КОМПАНИ,"['41278208', '145643290', '167970131', '141243784', '774326', '50559188', '37477466', '32915450', '43226633']"
КОМПАНИЯ,"['41278208', '145643290', '167970131', '141243784', '774326', '50559188', '37477466', '32915450', '43226633']"
КОМПАНЬОН,['7001399']
КОМПЕТЕНЦИЯ,['189782466']
КОМПИЛ,"['15153866', '43241369', '194720862', '89944050', '184534661', '186545074', '187522385', '38178546']"
КОМПЛЕКС,['16118769']
КОМПРЕССОР,['14006652']
КОМПЬЮТЕР,"['107769809', '82766518', '162741937', '35493903']"
КОМПЬЮТЕРНЫЙ,"['14046705', '133569354']"
КОМФОРТ,"['150858349', '112252091', '159941814']"
КОНВЕНТ,['114684292']
КОНВЕРСАЦИОННЫЙ,['71303819']
КОНВЕРСИЯ,"['72382323', '194467819', '172633463', '185043284', '162684090', '190681297', '169213173', '34535675', '122344455']"
КОНВЕРСЫ,"['72382323', '194467819', '172633463', '185043284', '162684090', '190681297', '169213173', '34535675', '122344455']"
КОНГРЕСС,['16118769']
КОНДЕНСАТОР,['19554380']
КОНДИЦИОНЕР,['120417372']
КОНИК,['21154474']
КОННЕКТ,"['110103385', '195025165', '178580906', '191151897']"
КОННЕКТИВ,"['110103385', '195025165', '178580906', '191151897']"
КОННЕКТОР,['138842129']
КОНСЕРВАТИВНАЯ,"['89951879', '55259181']"
КОНСОЛИ,"['192701398', '193222923', '172017527', '117148357', '44413267']"
КОНСОЛЬ,"['192701398', '193222923', '172017527', '117148357', '44413267']"
КОНСОРЦИУМ,"['79265021', '55312322']"
КОНСТ,"['163343225', '193022768', '127576234', '7874907', '53107864', '190624828', '1569', '59291160', '100886993', '191157853']"
КОНСТА,"['163343225', '193022768', '127576234', '7874907', '53107864', '190624828', '1569', '59291160', '100886993', '191157853']"
КОНСУЛЬТАНТ,['189576057']
КОНТАКТ,"['183810725', '39406758', '124913280']"
КОНТЕЙНЕР,['122024863']
КОНТЕНТ,['168105480']
КОНТРКУЛЬТУРА,['53820428']
КОНТРОЛ,"['180299520', '51403525', '40334017', '96717639', '60442049', '162235505', '87598739']"
КОНТРОЛЛЕР,"['46299910', '75437144']"
КОНТРОЛЬ,"['180299520', '51403525', '40334017', '96717639', '60442049', '162235505', '87598739']"
КОНФЕРЕНЦ,"['92331941', '172862303', '25497833', '53233428', '48717967', '177304640', '33351123', '193736240', '195474349', '59402490', '23684028']"
КОНФЕРЕНЦИЯ,"['92331941', '172862303', '25497833', '53233428', '48717967', '177304640', '33351123', '193736240', '195474349', '59402490', '23684028']"
КОНЦЕПТ,['151653060']
КОНЦЕРН,"['106276744', '91197755']"
КОНЦЕРТ,"['190384555', '161805948', '4498162', '44395356', '195706992', '195720644', '51419025', '194962970', '170043177', '20492865', '20272364', '1956927', '193327754']"
КОНЦЕРТЫ,"['190384555', '161805948', '4498162', '44395356', '195706992', '195720644', '51419025', '194962970', '170043177', '20492865', '20272364', '1956927', '193327754']"
КОНЬ,['27258920']
КОПИ,['175273863']
КОПИПАСТ,"['187593007', '184450447', '32219422', '10567724', '168095069', '24155578', '171576925']"
КОПИПАСТА,"['187593007', '184450447', '32219422', '10567724', '168095069', '24155578', '171576925']"
КОПИРАЙТ,"['55031425', '29937003']"
КОПИРАЙТИНГ,['194967496']
КОРА,['181780242']
КОРГИ,"['224571', '34196196', '50196030', '175948809', '1116586', '158445435', '137631708']"
КОРН,['188322266']
КОРНИШ,"['159035137', '46535691', '190032', '12970521', '52493413', '38720842', '98650689', '35749260', '83503', '37660745', '138263201', '81689123']"
КОРНИШИ,"['159035137', '46535691', '190032', '12970521', '52493413', '38720842', '98650689', '35749260', '83503', '37660745', '138263201', '81689123']"
КОРОТКИЙ,"['146799592', '158578535', '145547032', '136222058', '28871453']"
КОРОТКОЕ,"['146799592', '158578535', '145547032', '136222058', '28871453']"
КОРПОРАТИВНАЯ,"['90758838', '193091950', '117322887', '186902068', '142779257', '176764700', '157363243', '107678276', '170939460', '123654127', '160736926', '36425313', '86412828']"
КОРПОРАТИВНЫЙ,"['90758838', '193091950', '117322887', '186902068', '142779257', '176764700', '157363243', '107678276', '170939460', '123654127', '160736926', '36425313', '86412828']"
КОРПОРАЦИЯ,"['161522856', '174681778']"
КОРРИ,['8084718']
